FULL_ADDRESS,Middle_School,High_School,UNITCOUNT,ZIP5,CITY,STATE,STATUS,ADDRESS_TYPE,OBJECTID,Longitude,Latitude
1310 N COURTHOUSE RD,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,3003,-77.08415143499997,38.888874248000036
1310 N MEADE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,3006,-77.07171183299994,38.88996035400004
1310 N OAK ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,3008,-77.07371685199996,38.88953452900006
1311 14th ST N,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,3021,-77.07194046699993,38.89062243600006
1311 N ODE ST,Dorothy Hamm Middle School,Yorktown High School,15.0,22209,ARLINGTON,VA,VERIFIED,Standard,3026,-77.07534565499998,38.88981566600006
1313 14th ST N,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,3052,-77.07194388199997,38.890682095000045
1315 14th ST N,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,3093,-77.07194730099997,38.89074156100003
1315 N BARTON ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,3094,-77.08818459799994,38.88839206600005
1315 N ODE ST,Dorothy Hamm Middle School,Yorktown High School,15.0,22209,ARLINGTON,VA,VERIFIED,Standard,3098,-77.07539421699994,38.89001015500003
1315 FORT MYER DR,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,3113,-77.07429567199995,38.88974786800003
1316 N ADAMS CT,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,3116,-77.08746270099994,38.88844868700005
1317 14th ST N,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,3128,-77.07195086199994,38.890802732000054
1317 N BARTON ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,3129,-77.08819120799996,38.88845255800004
1317 FORT MYER DR,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,3146,-77.07412050899995,38.889815326000075
1318 N ADAMS CT,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,3149,-77.08746922499995,38.88850819000004
1318 N PIERCE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,3155,-77.07688356299997,38.889861633000066
